type;alignment
object;0.7937019318342210
object;0.7344084978103640
object;0.7483799755573270
object;0.7205256819725040
object;NA
object;0.7702436298131940
object;0.7884421199560170
object;0.682779923081398
object;0.7026504725217820
object;0.7940762490034100
object;0.683450922369957
object;NA
object;0.5444354191422460
object;0.5994225293397900
object;0.7493399083614350
object;NA
object;NA
object;0.7729455828666690
object;0.6891096383333210
object;0.7566602528095250
object;0.8080128580331800
object;0.805933028459549
object;0.6977294385433200
object;0.6403866410255430
object;NA
object;0.6846385449171070
object;0.6633330881595610
object;0.5616437271237370
object;0.6985826045274730
object;NA
object;0.6302330642938610
object;0.7198047637939450
object;0.6047694012522700
object;0.6139043346047400
object;0.535353384912014
object;NA
object;0.6644491851329800
object;0.6650897115468980
object;0.6302183121442800
object;0.6200438737869260
object;0.64887635409832
object;0.6270629167556760
object;0.5746890604496000
object;NA
object;0.7163564115762710
object;NA
object;0.7559669762849810
object;0.8240793645381930
object;0.6307096779346470
object;0.4992369934916500
object;NA
object;0.6698738038539890
object;0.6040370836853980
object;NA
object;NA
object;NA
object;0.7394914329051970
object;0.6330347806215290
object;0.7449585199356080
object;0.6599016487598420
object;0.738367959856987
object;NA
object;0.8148723840713500
object;0.7109275460243230
object;0.664718747138977
object;0.7864523679018020
object;0.6693316996097570
object;0.6155263260006910
object;NA
object;0.601923018693924
object;0.5836297571659090
object;0.723298043012619
object;0.690314993262291
object;0.4930926486849790
object;0.5505328625440600
object;NA
object;NA
object;0.7112689316272740
object;NA
object;0.5289168655872350
gender+number;NA
gender+number;NA
gender+number;0.8348435908555980
gender+number;NA
gender+number;0.7783689349889760
gender+number;0.8428428322076800
gender+number;NA
gender+number;NA
gender+number;NA
gender+number;NA
gender+number;NA
gender+number;NA
gender+number;NA
gender+number;0.9304745495319370
gender+number;NA
gender+number;NA
gender+number;NA
gender+number;NA
gender+number;NA
gender+number;NA
gender+number;NA
gender+number;NA
gender+number;NA
gender+number;NA
gender+number;NA
gender+number;NA
gender+number;0.6099456176161770
gender+number;NA
gender+number;NA
gender+number;NA
gender+number;NA
gender+number;NA
gender+number;NA
gender+number;0.6720898300409320
gender+number;0.6892098486423490
gender+number;NA
gender+number;NA
gender+number;NA
gender+number;NA
gender+number;NA
gender+number;NA
gender+number;NA
gender+number;0.6167938187718390
gender+number;0.6811773031950000
gender+number;NA
gender+number;NA
gender+number;NA
gender+number;NA
gender+number;0.7836942374706270
gender+number;0.7071352005004880
gender+number;0.7334664463996890
gender+number;NA
gender+number;0.826798602938652
gender+number;NA
gender+number;NA
gender+number;0.7066566497087480
gender+number;0.7799056172370910
gender+number;0.7101816684007650
gender+number;NA
gender+number;0.7111912220716480
gender+number;0.7685162872076040
gender+number;NA
gender+number;0.7862421870231630
gender+number;NA
gender+number;NA
gender+number;NA
gender+number;NA
gender+number;NA
gender+number;0.7437002658843990
gender+number;NA
gender+number;NA
gender+number;0.7054410129785540
gender+number;NA
gender+number;NA
gender+number;NA
gender+number;NA
gender+number;NA
gender+number;NA
gender+number;NA
gender+number;NA
gender+number;NA
gender+number;0.7295268028974530
gender+number;NA
gender+number;NA
gender+number;NA
gender+number;NA
gender+number;NA
gender+number;0.7174919545650480
gender+number;NA
gender+number;NA
gender+number;0.7242027670145040
gender+number;NA
gender+number;NA
gender+number;0.7435233145952230
gender+number;NA
gender+number;NA
gender+number;NA
gender+number;NA
gender+number;NA
gender+number;0.7159813493490220
gender;0.9945760667324070
gender;NA
gender;1.0049432516098000
gender;NA
gender;NA
gender;0.9579639136791230
gender;0.9591855853796010
gender;0.9706026315689090
gender;NA
gender;0.9665314853191380
gender;NA
gender;0.8988825231790540
gender;0.7460782676935200
gender;0.8934114128351210
gender;NA
gender;0.9329183399677280
gender;NA
gender;0.9503418207168580
gender;0.899801030755043
gender;0.9710132330656050
gender;NA
gender;NA
gender;NA
gender;0.9559550136327740
gender;0.9117975831031800
gender;0.888013169169426
gender;NA
gender;NA
gender;0.8672343194484710
gender;NA
gender;0.8566364645957950
gender;NA
gender;0.9030758589506150
gender;0.7551837712526320
gender;0.8981255441904070
gender;0.763915628194809
gender;0.8486594259738920
gender;0.8887067437171940
gender;0.8837553113698960
gender;0.8692355453968050
gender;NA
gender;0.8788448572158810
gender;NA
gender;0.8067653328180310
gender;0.8059608936309810
gender;NA
gender;0.8427980542182920
gender;0.8618879318237310
gender;0.8373768627643590
gender;0.8526454865932470
gender;0.7159392535686490
gender;0.8391175419092180
gender;0.8274603635072710
gender;0.92947818338871
gender;0.8894296735525130
gender;0.8317442983388900
gender;NA
gender;0.8201169967651370
gender;0.850214883685112
gender;0.8623883873224260
gender;0.8264645934104920
gender;0.8059436827898030
gender;0.8132519572973250
gender;0.8771901577711110
gender;NA
gender;NA
gender;0.8667745441198350
gender;NA
gender;0.8420726656913760
gender;0.8301174640655520
gender;0.807640552520752
gender;NA
gender;0.8842000365257260
gender;NA
gender;0.8025401085615160
gender;0.8812101185321810
gender;NA
gender;0.8165064454078670
gender;NA
gender;0.8683030307292940
gender;NA
gender;0.824906975030899
gender;0.7935532182455060
gender;NA
gender;0.8398336172103880
gender;0.829024612903595
gender;0.8853597939014440
gender;0.8770312368869780
gender;0.795791894197464
gender;0.8450154960155490
gender;0.7721821218729020
gender;0.8531615883111950
gender;0.811641737818718
gender;0.7608168572187420
gender;0.8309139311313630
gender;NA
gender;NA
gender;0.7914936542510990
gender;0.8331894874572750
gender;0.8546116203069690
full;0.48941347748041200
full;0.5145119875669480
full;0.48941347748041200
full;0.5036120116710660
full;0.5145119875669480
full;0.46030882745981200
full;0.4897890239954000
full;0.487792044878006
full;0.5722161009907720
full;0.4728047177195550
full;0.47608766704797700
full;0.48941347748041200
full;0.46030882745981200
full;0.5932770669460300
full;0.47608766704797700
full;0.5070608481764790
full;0.49975425004959100
full;0.5486257001757620
full;0.4897890239954000
full;0.5722161009907720
full;0.5722161009907720
full;0.5145119875669480
full;0.5344279855489730
full;0.46030882745981200
full;0.5254266038537030
full;0.5044100806117060
full;0.5344279855489730
full;0.47608766704797700
full;0.5309491604566570
full;0.4543977603316310
full;0.48941347748041200
full;0.5722161009907720
full;0.4927549883723260
full;0.4782639816403390
full;0.4728047177195550
full;0.46030882745981200
full;0.5944684892892840
full;0.5932770669460300
full;0.4669392481446270
full;0.4728047177195550
full;0.5344279855489730
full;0.51706213504076
full;0.5344279855489730
full;0.4845934733748440
full;0.5944684892892840
full;0.5722161009907720
full;0.4669392481446270
full;0.5254266038537030
full;0.4669392481446270
full;0.5149178579449650
full;0.4853680729866030
full;0.4645940661430360
full;0.5932770669460300
full;0.5391585826873780
full;0.4927549883723260
full;0.46021658927202200
full;0.5324382707476620
full;0.49735497683286700
full;0.5708237364888190
full;0.5254266038537030
full;0.4797583818435670
full;0.46021658927202200
full;0.5068373307585720
full;0.4818335175514220
full;0.5525107681751250
full;0.5344279855489730
full;0.4728047177195550
full;0.5324382707476620
full;0.5068373307585720
full;0.4897890239954000
full;0.4845934733748440
full;0.5525107681751250
full;0.4927549883723260
full;0.5258318781852720
full;0.5944684892892840
full;0.4196397215127950
full;0.5145119875669480
full;0.4797583818435670
full;0.5391585826873780
full;0.5932770669460300
full;0.4868476837873460
full;0.5149178579449650
full;0.4075585678219800
full;0.5258318781852720
full;0.5321186780929570
full;0.49735497683286700
full;0.5391585826873780
full;0.5708237364888190
full;0.5944684892892840
full;0.4927549883723260
full;0.48941347748041200
full;0.4075585678219800
full;0.5070778355002400
full;0.4645940661430360
full;0.4897890239954000
full;0.5062960833311080
full;0.49975425004959100
full;0.4797583818435670
full;0.5107320100069050
full;0.4927549883723260
